point,SiteReference,Hectares,Dwellings,Council,PermissionDate,PlanningStatus,Address,longitude,latitude
POINT(0.334604 52.334016),BLR2347,0.26,,,2024-12-04,permissioned,Walter Gidney Pavilion Fountain Lane Soham Ely Cambridgeshire CB7 5ED,0.334604,52.334016
POINT(0.394855 52.184473),BLR0905,1.59,,,2024-11-21,permissioned,Ley Cottage 2 Dullingham Ley Dullingham Newmarket Suffolk CB8 9XG,0.394855,52.184473
POINT(0.351328 52.32957),BLR2346,11.29,,,2024-10-17,permissioned,Land To Rear Of 81 - 111 Brook Street Soham Cambridgeshire,0.351328,52.32957
POINT(0.383237 52.30604),BLR1102,0.27,0.0,,2024-09-16,permissioned,Fordham Technology Centre 5 Station Road Fordham Cambridgeshire CB7 5LW,0.383237,52.30604
POINT(0.428228 52.19804),BLR3503,0.54,,,2024-07-09,permissioned,6 Ditton Green Woodditton Cambridgeshire CB8 9SQ,0.428228,52.19804
POINT(0.397088 52.20205),BLR2401,0.9,,,2024-03-25,permissioned,Site South West Of Ashfield House 20 High Street Stetchworth Newmarket Suffolk CB8 9TJ,0.397088,52.20205
POINT(0.348768 52.322353),BLR2345,10.38,,,2023-10-31,permissioned,Downfield Farm Fordham Road Soham Ely Cambridgeshire CB7 5AH,0.348768,52.322353
POINT(0.24564 52.458275),BLR1613,0.27,,,2023-06-22,permissioned,4A Fourth Drove Little Downham Ely Cambridgeshire CB6 2ES,0.24564,52.458275
POINT(0.149074 52.396973),BLR3301,0.43,0.0,,2023-06-22,permissioned,Kings Of Witcham Ltd The Slade Witcham Cambridgeshire,0.149074,52.396973
POINT(0.348615 52.500443),BLR1834,0.51,,,2023-05-22,permissioned,Site Of Coronation House Black Horse Drove Littleport Ely Cambridgeshire CB6 1EG,0.348615,52.500443
POINT(0.276329 52.482746),BLR1832,0.5,,,2023-04-04,permissioned,New Pools Farm Old Pool Drove Littleport Ely Cambridgeshire CB6 1RL,0.276329,52.482746
POINT(-0.047105 52.297339),S/3380/19/FL,0.3,1.0,,2023-03-22,permissioned,Land At The Back Of 30 Cootes Lane Fen Drayton Cambridge Cambridgeshire CB24 4SL,-0.047105,52.297339
POINT(0.051724 52.065846),22/05474/FUL,0.34,1.0,,2023-03-21,permissioned,"Bridgefoot Farm, Bridgefoot Barn Farm Shop And Tea Room Barley Road Flint Cross Great And Little Chishill Cambridgeshire SG8 7PU",0.051724,52.065846
POINT(0.379916 52.19946),BLR0904,15.33,,,2023-03-17,permissioned,Dullingham Park 10 Eagle Lane Dullingham Newmarket Suffolk CB8 9XB,0.379916,52.19946
POINT(0.05838 52.115708),22/05580/FUL,0.2,6.0,,2023-03-07,permissioned,Trinity School 8 Station Road Foxton Cambridgeshire CB22 6SA,0.05838,52.115708
POINT(0.119996 52.227808),22/01995/FUL,0.55,34.0,,2023-02-28,permissioned,Aylesborough Close Cambridge Cambridgeshire,0.119996,52.227808
POINT(0.187127 52.241951),22/04533/FUL,0.27,2.0,,2023-02-24,permissioned,Northgate Farm High Street Horningsea Cambridgeshire CB25 9JG,0.187127,52.241951
POINT(0.126482 52.230857),22/00583/FUL,0.15,14.0,,2023-02-16,permissioned,Land At Aragon Close And Sackville Close Cambridge Cambridgeshire,0.126482,52.230857
POINT(0.382855 52.39107),BLR1302,0.31,,,2023-02-15,permissioned,The Lowes 36 Prickwillow Road Isleham Ely Cambridgeshire CB7 5RH,0.382855,52.39107
POINT(0.167548 52.315714),22/03763/FUL,0.37,0.0,,2023-02-15,permissioned,"4 The Lakes, Lake House Twentypence Road Cottenham Cambridgeshire CB24 8PP",0.167548,52.315714
POINT(0.326611 52.340313),BLR2344,0.45,,,2023-02-07,permissioned,117 Mereside Soham Cambridgeshire CB7 5EG,0.326611,52.340313
